country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,07-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,08-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,09-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,10-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,11-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,12-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,13-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,14-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,15-03-2021,,,,,2862,,,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Afghanistan,AFG,16-03-2021,54000,54000,,,2862,0.14,0.14,,74,Oxford/AstraZeneca,Government of Afghanistan,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm
Albania,ALB,10-01-2021,0,0,,,,0,0,,,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,11-01-2021,,,,,64,,,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,12-01-2021,128,128,,,64,0,0,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,13-01-2021,188,188,,60,63,0.01,0.01,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,14-01-2021,266,266,,78,66,0.01,0.01,,23,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,15-01-2021,308,308,,42,62,0.01,0.01,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,16-01-2021,369,369,,61,62,0.01,0.01,,22,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,17-01-2021,405,405,,36,58,0.01,0.01,,20,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,18-01-2021,447,447,,42,55,0.02,0.02,,19,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,19-01-2021,483,483,,36,51,0.02,0.02,,18,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,20-01-2021,519,519,,36,47,0.02,0.02,,16,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,21-01-2021,549,549,,30,40,0.02,0.02,,14,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,22-01-2021,,,,,34,,,,12,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,23-01-2021,,,,,26,,,,9,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,24-01-2021,,,,,21,,,,7,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,25-01-2021,,,,,15,,,,5,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,26-01-2021,,,,,9,,,,3,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,27-01-2021,,,,,4,,,,1,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,28-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,29-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,30-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,31-01-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,01-02-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,02-02-2021,550,549,1,,0,0.02,0.02,0,0,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,03-02-2021,,,,,12,,,,4,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,04-02-2021,,,,,24,,,,8,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,05-02-2021,,,,,35,,,,12,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,06-02-2021,,,,,47,,,,16,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,07-02-2021,,,,,59,,,,21,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,08-02-2021,,,,,71,,,,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,09-02-2021,1127,689,438,,82,0.04,0.02,0.02,28,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,10-02-2021,,,,,81,,,,28,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,11-02-2021,,,,,79,,,,27,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,12-02-2021,,,,,78,,,,27,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,13-02-2021,,,,,76,,,,26,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,14-02-2021,,,,,75,,,,26,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,15-02-2021,,,,,73,,,,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,16-02-2021,,,,,72,,,,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,17-02-2021,1701,1090,611,,72,0.06,0.04,0.02,25,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,18-02-2021,3049,2438,611,1348,254,0.11,0.08,0.02,88,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,19-02-2021,4177,,,1128,405,0.15,,,141,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,20-02-2021,,,,,516,,,,179,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,21-02-2021,,,,,627,,,,218,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,22-02-2021,6728,6073,655,,739,0.23,0.21,0.02,257,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,23-02-2021,,,,,891,,,,310,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,24-02-2021,,,,,1043,,,,362,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,25-02-2021,10135,,,,1012,0.35,,,352,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,26-02-2021,,,,,1000,,,,347,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,27-02-2021,,,,,1027,,,,357,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,28-02-2021,,,,,1054,,,,366,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,01-03-2021,14295,,,,1081,0.5,,,376,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,02-03-2021,,,,,1026,,,,357,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,03-03-2021,15793,,,,971,0.55,,,337,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,04-03-2021,,,,,927,,,,322,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,05-03-2021,,,,,897,,,,312,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,06-03-2021,,,,,867,,,,301,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,07-03-2021,,,,,838,,,,291,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,08-03-2021,,,,,808,,,,281,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,09-03-2021,,,,,820,,,,285,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,10-03-2021,21613,,,,831,0.75,,,289,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
Albania,ALB,11-03-2021,,,,,857,,,,298,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://shendetesia.gov.al/manastirliu-inspekton-procesin-e-vaksinimit-ne-vlore-po-pergatitemi-per-uljen-e-fashes-te-moshuarit-mbi-70-vjec-me-karte-identiteti-mund-te-paraqiten-direkt-ne-qendrat-e-vaksinimit-te-perqendruar/
